文本,文本1,文本2,文本3,文本4,文本5,文本6,文本7,文本8,文本9,文本10,文本11,文本12,文本13,文本14,文本15,文本16,文本17,文本18,文本19,文本20,文本21,文本22,字段1,字段2,文本23,文本24,文本25,文本26,文本27,文本28,文本29,文本30,文本31,文本32,文本33,文本34,文本35,文本36,文本37,文本38,文本39,文本40,文本41,文本42,文本43,文本44,文本45,文本46,文本47,字段3,标题
"Abstract

Airborne pathogens are one of the most common avenues leading to poultry diseases. Preventing the avian influenza (AI) virus from entering the chicken hatchery house is critical for reducing the spread and transmission of AI disease. Many studies have investigated the incorporation of antimicrobials into air filters to prevent viruses from entering the indoor environment. N-halamines are one of the most effective antimicrobial agents against a broad spectrum of microorganisms. In this study, 1-chloro-2,2,5,5-tetramethyl-4-imidazolidinone (MC, a variety of N-halamine) was coated on nonwoven fabrics to give the fabric antimicrobial activity against the AI virus. Results showed that MC exhibited potent antiviral activity either in suspension or in the air. Higher concentrations of MC completely inactivated AI viruses and disrupted their RNA, preventing them from being detected by the real time reverse transcriptase-polymerase chain reaction (RT-PCR) assay. Coating the fabrics with MC resulted in remarkably reduced presence of AI virus on the MC-treated fabric in a short period of time. Furthermore, aerosolized AI viruses were completely inactivated when they passed through filters coated with the MC compound. In addition, MC is not volatile and does not release any gaseous chlorine. The active chlorine in the MC compound is stable, and the coating procedure is straightforward and inexpensive. Therefore, this study validates a novel approach to reducing airborne pathogens in the poultry production environment.",,,,,,,,,,,,,,,,,,,,,,,,"The edible seaweed Caulerpa lentillifera, a powerful natural food source that is rich in protein, minerals, dietary fibers, vitamins, saturated fatty acids and unsaturated fatty acids, has been mass cultured in some Asian countries and has been the focus of researchers in recent years. Here, the operational conditions of its culture, application in wastewater treatment, and bioactive components are summarized and comparatively analyzed. Based on previous studies, salinity, nutrient concentrations, irradiance and temperature are stress factors for algal growth. Moreover, dried Caulerpa lentillifera seaweed is efficient in the biosorption of heavy metals and cationic dyes in wastewater, and fresh seaweed can be introduced as a biofilter in aquaculture system treatment. In addition, among the rich bioactive compounds in Caulerpa lentillifera, the phenolic compounds show the potential ability for regulating glucose metabolism in vivo. Polysaccharides and oligosaccharides exhibit anticoagulant, immunomodulatory effects and cancer-preventing activity. Siphonaxanthin is a compound with attractive novel functions in cancer-preventing activity and lipogenesis-inhibiting effects. Furthermore, the antioxidant activity of siphonaxanthin extracted from Caulerpa lentillifera could be stronger than that of astaxanthin. This review offers an overview of studies of Caulerpa lentillifera addressing various aspects including cultivation, wastewater treatment and biological active components which may provide valuable information for the cultivation and utilization of this green alga.",,,,,,,,,,,,,,,,,,,,,,,,,,,"Advances in cultivation, wastewater treatment application, bioactive components of Caulerpa lentillifera and their biotechnological applications"
"Abstract

Airborne pathogens are one of the most common avenues leading to poultry diseases. Preventing the avian influenza (AI) virus from entering the chicken hatchery house is critical for reducing the spread and transmission of AI disease. Many studies have investigated the incorporation of antimicrobials into air filters to prevent viruses from entering the indoor environment. N-halamines are one of the most effective antimicrobial agents against a broad spectrum of microorganisms. In this study, 1-chloro-2,2,5,5-tetramethyl-4-imidazolidinone (MC, a variety of N-halamine) was coated on nonwoven fabrics to give the fabric antimicrobial activity against the AI virus. Results showed that MC exhibited potent antiviral activity either in suspension or in the air. Higher concentrations of MC completely inactivated AI viruses and disrupted their RNA, preventing them from being detected by the real time reverse transcriptase-polymerase chain reaction (RT-PCR) assay. Coating the fabrics with MC resulted in remarkably reduced presence of AI virus on the MC-treated fabric in a short period of time. Furthermore, aerosolized AI viruses were completely inactivated when they passed through filters coated with the MC compound. In addition, MC is not volatile and does not release any gaseous chlorine. The active chlorine in the MC compound is stable, and the coating procedure is straightforward and inexpensive. Therefore, this study validates a novel approach to reducing airborne pathogens in the poultry production environment.",,,,,,,,,,,,"Predicting demographic rates is a critical part of forecasting the future of ecosystems under global change. Here, we test if growth rates can be predicted from morphological traits for a highly diverse group of colonial symbiotic organisms: scleractinian corals. We ask whether growth is isometric or allometric among corals, and whether most variation in coral growth rates occurs at the level of the species or morphological group. We estimate growth as change in planar area for 11 species, across five morphological groups and over 5 years. We show that coral growth rates are best predicted from colony size and morphology rather than species. Coral size follows a power scaling law with a constant exponent of 0.91. Despite being colonial organisms, corals have consistent allometric scaling in growth. This consistency simplifies the task of projecting community responses to disturbance and climate change.",,,,,,,,,,,,,,Allometric growth in reef-building corals,,,,,,,,,,,,,Allometric growth in reef-building corals,,,,,,,,,,,,
"Abstract

The recently emerged coronavirus disease (COVID-19), which has been characterised as a pandemic by the World Health Organization (WHO), is impacting all parts of human society including agriculture, manufacturing, and tertiary sectors involving all service provision industries. This paper aims to give an overview of potential host reservoirs that could cause pandemic outbreak caused by zoonotic transmission. Amongst all, continues surveillance in slaughterhouse for possible pathogens transmission is needed to prevent next pandemic outbreak. This paper also summarizes the potential threats of pandemic to agriculture and aquaculture sector that control almost the total food supply chain and market. The history lesson from the past, emerging and reemerging infectious disease including the Severe Acute Respiratory Syndrome (SARS) in 2002, Influenza A H1N1 (swine flu) in 2009, Middle East Respiratory Syndrome (MERS) in 2012 and the recent COVID-19 should give us some clue to improve especially the governance to be more ready for next coming pandemic.",,,,,,,,,,,,,,,,,,,,,,,,,Covid-19 pandemic in the lens of food safety and security,,,,,,,,,,,,,,,,,,,,,,,,,,
,"
      Abstract
      
         
         Captive propagation and augmentation of the Rio Grande Silvery Minnow Hybognathus amarus is necessary for continued persistence of the species until habitat can be restored. Augmentation occurs using captive fish within the first year (age 0) through age 2; however, older year‐classes (ages 3–4) have been released into the wild. We quantified fecundity and compared egg quality across four reproductive age‐classes (1–4) of hatchery‐reared Rio Grande Silvery Minnow. Batch fecundity (total number of spawned eggs) ranged from 2,029 eggs in age‐1 fish to 10,588 eggs in age‐4 fish. Standing stock of vitellogenic (i.e., yolked) oocytes remaining in ovaries after spawning increased from 988 oocytes at age 1 to 4,924 oocytes at age 4. Total fecundity (i.e., batch fecundity plus standing stock of yolked oocytes) increased from 3,017 eggs and yolked oocytes in age‐1 fish to 15,522 eggs and yolked oocytes in age‐4 fish. Of note, batch fecundity ranged from 57% to 68% across the four age‐classes indicating that over half of the total fecundity occurs in the first spawn. Average percent fertilization of eggs (63–82%) was not detectably different across the four age‐classes, while average egg diameter (4.1–5.5 mm) increased as age increased. Fecundity increased across all four reproductive age‐classes of Rio Grande Silvery Minnow, with the larger portion of total fecundity occurring in the first spawn across all age‐classes. The timing of spawning with optimal conditions in the Rio Grande is critical for survival and ultimately recruitment into the wild fish population.
         
      
   ",,,,,,,,,,,,,,,,,,,,,,,,,Reproductive Potential of Captive Rio Grande Silvery Minnow,,,,,,,,,,,,,Reproductive Potential of Captive Rio Grande Silvery Minnow,,,,,,,,,,,,
,"
      Abstract
      
         
         Captive propagation and augmentation of the Rio Grande Silvery Minnow Hybognathus amarus is necessary for continued persistence of the species until habitat can be restored. Augmentation occurs using captive fish within the first year (age 0) through age 2; however, older year‐classes (ages 3–4) have been released into the wild. We quantified fecundity and compared egg quality across four reproductive age‐classes (1–4) of hatchery‐reared Rio Grande Silvery Minnow. Batch fecundity (total number of spawned eggs) ranged from 2,029 eggs in age‐1 fish to 10,588 eggs in age‐4 fish. Standing stock of vitellogenic (i.e., yolked) oocytes remaining in ovaries after spawning increased from 988 oocytes at age 1 to 4,924 oocytes at age 4. Total fecundity (i.e., batch fecundity plus standing stock of yolked oocytes) increased from 3,017 eggs and yolked oocytes in age‐1 fish to 15,522 eggs and yolked oocytes in age‐4 fish. Of note, batch fecundity ranged from 57% to 68% across the four age‐classes indicating that over half of the total fecundity occurs in the first spawn. Average percent fertilization of eggs (63–82%) was not detectably different across the four age‐classes, while average egg diameter (4.1–5.5 mm) increased as age increased. Fecundity increased across all four reproductive age‐classes of Rio Grande Silvery Minnow, with the larger portion of total fecundity occurring in the first spawn across all age‐classes. The timing of spawning with optimal conditions in the Rio Grande is critical for survival and ultimately recruitment into the wild fish population.
         
      
   ",,,,,,,,,,"The pervasive nature of marine plastic pollution was highlighted at the recent United Nations Environment Assembly. This meeting saw strong commitments for action, but at the same time reinforced the challenges for contemporary ocean governance in addressing marine plastic pollution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plastic pollution of the world’s seas and oceans as a contemporary challenge in ocean governance,,,,,,,,,,
,"
      Abstract
      
         
         Captive propagation and augmentation of the Rio Grande Silvery Minnow Hybognathus amarus is necessary for continued persistence of the species until habitat can be restored. Augmentation occurs using captive fish within the first year (age 0) through age 2; however, older year‐classes (ages 3–4) have been released into the wild. We quantified fecundity and compared egg quality across four reproductive age‐classes (1–4) of hatchery‐reared Rio Grande Silvery Minnow. Batch fecundity (total number of spawned eggs) ranged from 2,029 eggs in age‐1 fish to 10,588 eggs in age‐4 fish. Standing stock of vitellogenic (i.e., yolked) oocytes remaining in ovaries after spawning increased from 988 oocytes at age 1 to 4,924 oocytes at age 4. Total fecundity (i.e., batch fecundity plus standing stock of yolked oocytes) increased from 3,017 eggs and yolked oocytes in age‐1 fish to 15,522 eggs and yolked oocytes in age‐4 fish. Of note, batch fecundity ranged from 57% to 68% across the four age‐classes indicating that over half of the total fecundity occurs in the first spawn. Average percent fertilization of eggs (63–82%) was not detectably different across the four age‐classes, while average egg diameter (4.1–5.5 mm) increased as age increased. Fecundity increased across all four reproductive age‐classes of Rio Grande Silvery Minnow, with the larger portion of total fecundity occurring in the first spawn across all age‐classes. The timing of spawning with optimal conditions in the Rio Grande is critical for survival and ultimately recruitment into the wild fish population.
         
      
   ",,,,,,,,,,"Staphylococcus aureus is one of the most common causes of seafood-borne diseases worldwide, which are attributable to the contamination of food by preformed enterotoxins. In this study, a total of 206 (34.3%) Staphylococcus aureus strains were obtained from 600 fish and shrimp samples and were tested for their antimicrobial susceptibility. We assessed the prevalence of the genes responsible for the staphylococcal enterotoxins (SEA, SEB) and toxic shock syndrome toxin 1 (TSST-1) genes. The results indicated that 34% of aqua food samples were contaminated with S. aureus and 23.8% of these isolates were mec-A-positive. Sixty-four percent of the strains isolated from contaminated seafood was enterotoxigenic S. aureus and 28.2% of SEs were MRSA-positive. The most prevalent genotype was characterized by the presence of the sea gene (45.2%), followed by the seb gene (18.5%) and the tst gene encoding TSST-1 was found in eight strains (3.9%). Of the 206 S. aureus isolates, 189 strains (84.9%) were resistant to at least one antibiotic. Given the frequent outbreaks of enterotoxigenic MRSA, it is necessary to make revisions to mandatory programmes to facilitate improved hygiene practices during fishing, aquaculture, processing and sales to prevent the contamination of fishery products in Iran.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Characterization of Toxin Genes and Antimicrobial Susceptibility of Staphylococcus aureus Isolates in Fishery Products in Iran,,,,,,,,,,
,"
      Abstract
      
         
         Captive propagation and augmentation of the Rio Grande Silvery Minnow Hybognathus amarus is necessary for continued persistence of the species until habitat can be restored. Augmentation occurs using captive fish within the first year (age 0) through age 2; however, older year‐classes (ages 3–4) have been released into the wild. We quantified fecundity and compared egg quality across four reproductive age‐classes (1–4) of hatchery‐reared Rio Grande Silvery Minnow. Batch fecundity (total number of spawned eggs) ranged from 2,029 eggs in age‐1 fish to 10,588 eggs in age‐4 fish. Standing stock of vitellogenic (i.e., yolked) oocytes remaining in ovaries after spawning increased from 988 oocytes at age 1 to 4,924 oocytes at age 4. Total fecundity (i.e., batch fecundity plus standing stock of yolked oocytes) increased from 3,017 eggs and yolked oocytes in age‐1 fish to 15,522 eggs and yolked oocytes in age‐4 fish. Of note, batch fecundity ranged from 57% to 68% across the four age‐classes indicating that over half of the total fecundity occurs in the first spawn. Average percent fertilization of eggs (63–82%) was not detectably different across the four age‐classes, while average egg diameter (4.1–5.5 mm) increased as age increased. Fecundity increased across all four reproductive age‐classes of Rio Grande Silvery Minnow, with the larger portion of total fecundity occurring in the first spawn across all age‐classes. The timing of spawning with optimal conditions in the Rio Grande is critical for survival and ultimately recruitment into the wild fish population.
         
      
   ",,,,,,,,,,"Hatcheries have the power to spread antimicrobial resistant (AMR) pathogens through the poultry value chain because of their central position in the poultry production chain. Currently, no information is available about the presence of AMR Escherichia coli strains and the antibiotic resistance genes (ARGs) they harbor within hatchezries. Therefore, this study aimed to investigate the possible involvement of hatcheries in harboring hemolytic AMR E. coli. Serotyping of the 65 isolated hemolytic E. coli revealed 15 serotypes with the ability to produce moderate biofilms, and shared susceptibility to cephradine and fosfomycin and resistance to spectinomycin. The most common β-lactam resistance gene was blaTEM, followed by blaOXA-1, blaMOX-like, blaCIT-like, blaSHV and blaFOX. Hierarchical clustering of E. coli isolates based on their phenotypic and genotypic profiles revealed separation of the majority of isolates from hatchlings and the hatchery environments, suggesting that hatchling and environmental isolates may have different origins. The high frequency of β-lactam resistance genes in AMR E. coli from chick hatchlings indicates that hatcheries may be a reservoir of AMR E. coli and can be a major contributor to the increased environmental burden of ARGs posing an eminent threat to poultry and human health.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poultry hatcheries as potential reservoirs for antimicrobial-resistant Escherichia coli: A risk to public health and food safety,,,,,,,,,,
,"
      Abstract
      
         
         Captive propagation and augmentation of the Rio Grande Silvery Minnow Hybognathus amarus is necessary for continued persistence of the species until habitat can be restored. Augmentation occurs using captive fish within the first year (age 0) through age 2; however, older year‐classes (ages 3–4) have been released into the wild. We quantified fecundity and compared egg quality across four reproductive age‐classes (1–4) of hatchery‐reared Rio Grande Silvery Minnow. Batch fecundity (total number of spawned eggs) ranged from 2,029 eggs in age‐1 fish to 10,588 eggs in age‐4 fish. Standing stock of vitellogenic (i.e., yolked) oocytes remaining in ovaries after spawning increased from 988 oocytes at age 1 to 4,924 oocytes at age 4. Total fecundity (i.e., batch fecundity plus standing stock of yolked oocytes) increased from 3,017 eggs and yolked oocytes in age‐1 fish to 15,522 eggs and yolked oocytes in age‐4 fish. Of note, batch fecundity ranged from 57% to 68% across the four age‐classes indicating that over half of the total fecundity occurs in the first spawn. Average percent fertilization of eggs (63–82%) was not detectably different across the four age‐classes, while average egg diameter (4.1–5.5 mm) increased as age increased. Fecundity increased across all four reproductive age‐classes of Rio Grande Silvery Minnow, with the larger portion of total fecundity occurring in the first spawn across all age‐classes. The timing of spawning with optimal conditions in the Rio Grande is critical for survival and ultimately recruitment into the wild fish population.
         
      
   ",,,,,,,,,,"
                Kappaphycus alvarezii must be adapted to different environmental conditions when introduced to other countries. In Brazilian commercial cultivations with muddy bottoms and increased seawater movement, the floating rafts system using tubular net technique was superior to the tie-tie technique. However, since this result was from only one cultivation cycle, the efficiency of the tubular net technique in other environments and in different periods of the year was analyzed to verify which K. alvarezii farming technique (tubular net or tie-tie) was more efficient with respect to cost, daily growth rate, and carrageenan yield. The results indicated that the efficiency of the tubular net technique in the farming of K. alvarezii yielded higher daily growth rates and lower farming costs as well as retaining more seedlings on the floating raft that is better for the environment preventing invasiveness.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The efficiency of tubular netting method of cultivation for Kappaphycus alvarezii (Rhodophyta, Gigartinales) on the southeastern Brazilian coast",,,,,,,,,,
,"
         Summary
         
            
            The natural habitats and potential reservoirs of the nosocomial pathogen Acinetobacter baumannii are poorly defined. Here, we put forth and tested the hypothesis of avian reservoirs of A. baumannii. We screened tracheal and rectal swab samples from livestock (chicken, geese) and wild birds (white stork nestlings) and isolated A. baumannii from 3% of sampled chicken (n = 220), 8% of geese (n = 40) and 25% of white stork nestlings (n = 661). Virulence of selected avian A. baumannii isolates was comparable to that of clinical isolates in the Galleria mellonella infection model. Whole genome sequencing revealed the close relationship of an antibiotic‐susceptible chicken isolate from Germany with a multidrug‐resistant human clinical isolate from China and additional linkages between livestock isolates and human clinical isolates related to international clonal lineages. Moreover, we identified stork isolates related to human clinical isolates from the United States. Multilocus sequence typing disclosed further kinship between avian and human isolates. Avian isolates do not form a distinct clade within the phylogeny of A. baumannii, instead they diverge into different lineages. Further, we provide evidence that A. baumannii is constantly present in the habitats occupied by storks. Collectively, our study suggests A. baumannii could be a zoonotic organism that may disseminate into livestock.
            
         
      ",,,,,,,,,,,,,,,,,,,,,,,,,"Relatedness of wildlife and livestock avian isolates of the nosocomial pathogen Acinetobacter baumannii to lineages spread in hospitals worldwide
   ",,,,,,,,,,,,,"Relatedness of wildlife and livestock avian isolates of the nosocomial pathogen Acinetobacter baumannii to lineages spread in hospitals worldwide
   ",,,,,,,,,,,,
,"
         Summary
         
            
            The natural habitats and potential reservoirs of the nosocomial pathogen Acinetobacter baumannii are poorly defined. Here, we put forth and tested the hypothesis of avian reservoirs of A. baumannii. We screened tracheal and rectal swab samples from livestock (chicken, geese) and wild birds (white stork nestlings) and isolated A. baumannii from 3% of sampled chicken (n = 220), 8% of geese (n = 40) and 25% of white stork nestlings (n = 661). Virulence of selected avian A. baumannii isolates was comparable to that of clinical isolates in the Galleria mellonella infection model. Whole genome sequencing revealed the close relationship of an antibiotic‐susceptible chicken isolate from Germany with a multidrug‐resistant human clinical isolate from China and additional linkages between livestock isolates and human clinical isolates related to international clonal lineages. Moreover, we identified stork isolates related to human clinical isolates from the United States. Multilocus sequence typing disclosed further kinship between avian and human isolates. Avian isolates do not form a distinct clade within the phylogeny of A. baumannii, instead they diverge into different lineages. Further, we provide evidence that A. baumannii is constantly present in the habitats occupied by storks. Collectively, our study suggests A. baumannii could be a zoonotic organism that may disseminate into livestock.
            
         
      ",,,,,,,,,,"The red swamp crayfish (Procambarus clarkii) is one of the most economically important farmed aquatic species in China. However, it is also a famous invasive species in the world. This invasive species was dispersed most via human activities including intentional or unintentional carry in China. Thus, P. clarkii naturally distributed in China provides us a desirable mode to investigate the genetic structure of an invasive species dispersed mainly by human-mediated factors. To reveal the impact of human-mediated dispersal on genetic structure of P. clarkii in China, a total of 22,043 genome-wide SNPs were obtained from approximately 7.4 billion raw reads using 2b-RAD technique in this study. An evident pattern of population genetic structure and the asymmetrical migrational rates between different regions were observed with 22 populations based on these SNPs. This study provide a better understanding of the population genetic structure and demographic history of P. clarkii populations in China, inferring that anthropogenic factors (aquaculture or by accident) and ecological factors (e.g., complicated topography and climatic environment), as well as its special biological traits could account for the current population structure pattern and dispersal history of P. clarkii.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Characterization of Population Genetic Structure of red swamp crayfish, Procambarus clarkii, in China",,,,,,,,,,
,"
         Summary
         
            
            The natural habitats and potential reservoirs of the nosocomial pathogen Acinetobacter baumannii are poorly defined. Here, we put forth and tested the hypothesis of avian reservoirs of A. baumannii. We screened tracheal and rectal swab samples from livestock (chicken, geese) and wild birds (white stork nestlings) and isolated A. baumannii from 3% of sampled chicken (n = 220), 8% of geese (n = 40) and 25% of white stork nestlings (n = 661). Virulence of selected avian A. baumannii isolates was comparable to that of clinical isolates in the Galleria mellonella infection model. Whole genome sequencing revealed the close relationship of an antibiotic‐susceptible chicken isolate from Germany with a multidrug‐resistant human clinical isolate from China and additional linkages between livestock isolates and human clinical isolates related to international clonal lineages. Moreover, we identified stork isolates related to human clinical isolates from the United States. Multilocus sequence typing disclosed further kinship between avian and human isolates. Avian isolates do not form a distinct clade within the phylogeny of A. baumannii, instead they diverge into different lineages. Further, we provide evidence that A. baumannii is constantly present in the habitats occupied by storks. Collectively, our study suggests A. baumannii could be a zoonotic organism that may disseminate into livestock.
            
         
      ",,,,,,,,,,,"Advances in next-generation sequencing (NGS) have allowed significant breakthroughs in microbial ecology studies. This has led to the rapid expansion of research in the field and the establishment of “metagenomics”, often defined as the analysis of DNA from microbial communities in environmental samples without prior need for culturing. Many metagenomics statistical/computational tools and databases have been developed in order to allow the exploitation of the huge influx of data. In this review article, we provide an overview of the sequencing technologies and how they are uniquely suited to various types of metagenomic studies. We focus on the currently available bioinformatics techniques, tools, and methodologies for performing each individual step of a typical metagenomic dataset analysis. We also provide future trends in the field with respect to tools and technologies currently under development. Moreover, we discuss data management, distribution, and integration tools that are capable of performing comparative metagenomic analyses of multiple datasets using well-established databases, as well as commonly used annotation standards.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"
      Abstract
      
         
         Captive propagation and augmentation of the Rio Grande Silvery Minnow Hybognathus amarus is necessary for continued persistence of the species until habitat can be restored. Augmentation occurs using captive fish within the first year (age 0) through age 2; however, older year‐classes (ages 3–4) have been released into the wild. We quantified fecundity and compared egg quality across four reproductive age‐classes (1–4) of hatchery‐reared Rio Grande Silvery Minnow. Batch fecundity (total number of spawned eggs) ranged from 2,029 eggs in age‐1 fish to 10,588 eggs in age‐4 fish. Standing stock of vitellogenic (i.e., yolked) oocytes remaining in ovaries after spawning increased from 988 oocytes at age 1 to 4,924 oocytes at age 4. Total fecundity (i.e., batch fecundity plus standing stock of yolked oocytes) increased from 3,017 eggs and yolked oocytes in age‐1 fish to 15,522 eggs and yolked oocytes in age‐4 fish. Of note, batch fecundity ranged from 57% to 68% across the four age‐classes indicating that over half of the total fecundity occurs in the first spawn. Average percent fertilization of eggs (63–82%) was not detectably different across the four age‐classes, while average egg diameter (4.1–5.5 mm) increased as age increased. Fecundity increased across all four reproductive age‐classes of Rio Grande Silvery Minnow, with the larger portion of total fecundity occurring in the first spawn across all age‐classes. The timing of spawning with optimal conditions in the Rio Grande is critical for survival and ultimately recruitment into the wild fish population.
         
      
   ",,,,,,,,,,"A broad panel of tens of thousands of microsatellite loci is unveiled for an endangered piracema (i.e. migratory) South American fish, Brycon orbignyanus. Once one of the main fisheries resources in the Platine Basin, it is now almost extinct in nature and focus of intense aquaculture activity. A total of 178.2 million paired-end reads (90 bases long) were obtained through the use of sequencing-by-synthesis (from a primary genomic library of 500 bp DNA fragments) and is made available through NCBI’s Sequence Read Archive, SRA accession SRX3350440. Short reads were assembled de novo and screening for perfect microsatellite motifs revealed more than 81 thousands unique microsatellite loci, for which primer pairs were proposed. A total of 29 polymorphic microsatellite markers were already previously validated for this panel. A partial genomic assembly is hereby presented and these genomic resources are publicly made available. These data will foster the rapid development of hundreds of new DNA markers for genetic diversity studies, conservation initiatives and management practices for this important and depleted species. The availability of such preliminary genomic data will also be of use in the areas of bioinformatics, ecology, genetics and evolution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A broad genomic panel of microsatellite loci from Brycon orbignyanus (Characiformes: Bryconidae) an endangered migratory Neotropical fish,,,,,,,,,,
,,,,,,,,,,,"Diazinon is widely consumed for plague control in the agricultural farms and in domestic and aquaculture aspects. The present research purposed to evaluate the effect of half-lethal concentration (LC50) of diazinon on some biochemical and hematological parameters of silver carp, hypophthalmichthys molitrix, after 0, 24, 48 and 96 h. The results showed that the values of leukocytes (WBC), haematocrit (Ht), hemoglobin (Hb), MCHC, lymphocyte, cortisol and glucose were significantly increased (P < 0.05). The mount of MCV and MCH were significantly increased at 48 h and then decreased at 96 h (P < 0.05). Moreover, there was a significant increasing in neutrophils count at 48 h, and then a significant decreasing at 96 h (P < 0.05). There were no significant differences in RBC, monocyte and eosinophile counts among treatment groups at different sampling intervals. Thereupon, low-term (96 h) exposure to diazinon at half-lethal concentration (LC50) caused biochemical and hematological changes in silver carp, and offers a simply implement to appraise toxicity-derivatived changes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hematological changes of silver carp (hypophthalmichthys molitrix) in response to Diazinon pesticide,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"A period of starvation is regarded as a sound practice in aquaculture prior to handling, transportation and harvest, to minimise impacts on welfare and ensure proper hygiene after harvest. However, documentation of welfare issues such as stress following starvation and handling in adult Atlantic salmon are lacking. This study aimed to examine gut emptying and potential stress during a two week starvation period, and whether this starvation period changed the tolerance for physical stress. The study confirmed slower emptying of the gut segments at low temperature. Plasma and bile cortisol, and selected clinical analyses were used to characterize potential stress, as well as the response to acute physical crowding stress during the starvation period. Neither the general stress level nor the ability to cope with handling stress was affected by a 14 day starvation period. Down-regulation of selected nutritional related gene markers in liver indicated classical starvation responses, with reduced metabolism and oxidative pressure, and sparing of nutrients. The response to acute handling stress was not affected by two weeks of starvation. There were minor effects of starvation on stress and health markers, as evaluated by plasma lysozyme activity and gene expression of selected inflammation marker proteins in heart and skin tissues.",,,,,,,,,,,,,,,,,,,,,,,,,,,Short-term starvation at low temperature prior to harvest does not impact the health and acute stress response of adult Atlantic salmon
,,,,,,,,,,,"This article investigates the gendered implications of environmental change using case studies of two small-scale fishing communities in Chilika lagoon, India. We undertake an intersectional analysis that examines dynamics between groups of fisherwomen in relation to social-ecological change. We focus specifically on (1) fisherwomen’s perspectives about the key drivers of change (e.g., natural disasters and aquaculture) within the social and ecological system of Chilika lagoon; (2) how environmental change is impacting the livelihoods and coping responses of fisherwomen; and (3) how fisherwomen communities are adapting to the ongoing process of change, highlighting in particular the gendered dimensions of out-migration. Our findings demonstrate that fisherwomen’s roles and identities are not static and that the impacts of environmental change vary for different groups of fisherwomen. We find that gender intersects with caste, income, geographic location, age, and household membership to create heterogeneous experiences and knowledge that reflects the complexities associated with gender and environmental change. With specific regard to the increase in fisherwomen out-migrating, we show that responses and adaptations to environmental change have gender-differentiated impacts and challenges.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Women’s perspectives of small-scale fisheries and environmental change in Chilika lagoon, India",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"
Ocean renewable technologies have been rapidly developing over the past years. However, current high installation, operation, maintenance, and decommissioning costs are hindering these offshore technologies to reach a commercialization stage. In this paper we focus on the use of divers and remotely-operated vehicles during the installation and monitoring phase of wave energy converters. Methods and results are based on the wave energy converter system developed by Uppsala University, and our experience in offshore deployments obtained during the past eleven years. The complexity of underwater operations, carried out by either divers or remotely-operated vehicles, is emphasized. Three methods for the deployment of wave energy converters are economically and technically analyzed and compared: one using divers alone, a fully-automated approach using remotely-operated vehicles, and an intermediate approach, involving both divers and underwater vehicles. The monitoring of wave energy converters by robots is also studied, both in terms of costs and technical challenges. The results show that choosing an autonomous deployment method is more advantageous than a diver-assisted method in terms of operational time, but that numerous factors prevent the wide application of robotized operations. Technical solutions are presented to enable the use of remotely-operated vehicles instead of divers in ocean renewable technology operations. Economically, it is more efficient to use divers than autonomous vehicles for the deployment of six or fewer wave energy converters. From seven devices, remotely-operated vehicles become advantageous.
View Full-Text
",,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Deployment and Maintenance of Wave Energy Converters at the Lysekil Research Site: A Comparative Study on the Use of Divers and Remotely-Operated Vehicles ",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Resilience, political ecology, and well-being: an interdisciplinary approach to understanding social-ecological change in coastal Bangladesh",,,,,,,,,,,,,,
"Abstract

The probiotic effects of seven newly isolated gut bacteria, from the indegenous honey bees of Saudi Arabia were investigated. In vivo bioassays were used to investigate the effects of each gut bacterium namely, Fructobacillus fructosus (T1), Proteus mirabilis (T2), Bacillus licheniformis (T3), Lactobacillus kunkeei (T4), Bacillus subtilis (T5), Enterobacter kobei (T6), and Morganella morganii (T7) on mortality percentage of honey bee larvae infected with P. larvae spores along with negative control (normal diet) and positive control (normal diet spiked with P. larvae spores). Addition of gut bacteria to the normal diet significantly reduced the mortality percentage of the treated groups. Mortality percentage in all treated groups ranged from 56.67% up to 86.67%. T6 treated group exhibited the highest mortality (86.67%), whereas T4 group showed the lowest mortality (56.67%). Among the seven gut bacterial treatments, T4 and T3 decreased the mortality 56.67% and 66.67%, respectively, whereas, for T2, T6, and T7 the mortality percentage was equal to that of the positive control (86.67%). Mortality percentages in infected larval groups treated with T1, and T5 were 78.33% and 73.33% respectively. Most of the mortality occurred in the treated larvae during days 2 and 3. Treatments T3 and T4 treatments showed positive effects and reduced mortality.",,,,,,,,,,,,,,,,,,,,,,,,,Effect of gut bacterial isolates from Apis mellifera jemenitica on Paenibacillus larvae infected bee larvae,,,,,,,,,,,,,,,,,,,,,,,,,,
